report_date,civic_buildings__ext_destroyed,educational_buildings__ext_destroyed,educational_buildings__ext_damaged,places_of_worship__ext_mosques_destroyed,places_of_worship__ext_churches_destroyed,residential__ext_destroyed
10/7/2023,5,1,15,2,0,80
10/8/2023,11,1,30,4,0,159
10/9/2023,16,2,45,6,0,790
10/10/2023,22,2,60,8,0,1009
10/11/2023,27,3,75,10,0,2835
10/12/2023,29,3,75,10,0,4188
10/13/2023,31,9,100,12,0,5540
10/14/2023,33,14,124,14,0,7000
10/15/2023,35,14,143,16,0,8840
10/16/2023,37,18,150,18,1,10500
10/17/2023,39,18,153,20,1,12000
10/18/2023,41,20,157,22,1,13577
10/19/2023,43,22,160,24,1,15154
10/20/2023,45,23,164,26,1,16731
10/21/2023,47,25,167,28,1,18308
10/22/2023,49,27,171,30,1,19885
10/23/2023,51,29,174,32,1,21462
10/24/2023,53,30,178,34,1,23038
10/25/2023,55,32,181,36,1,24615
10/26/2023,57,34,185,38,1,26192
10/27/2023,59,36,188,39,1,27769
10/28/2023,60,37,192,41,1,29346
10/29/2023,62,39,196,43,1,30923
10/30/2023,64,41,199,45,1,32500
10/31/2023,66,43,203,47,1,33571
11/1/2023,68,44,206,49,1,34643
11/2/2023,70,46,210,51,1,35714
11/3/2023,72,48,213,53,1,36786
11/4/2023,74,50,217,55,2,37857
11/5/2023,76,51,220,57,2,38929
11/6/2023,78,53,224,59,2,40000
11/7/2023,80,55,227,61,2,40250
11/8/2023,82,57,231,63,2,40500
11/9/2023,84,58,234,65,2,40750
11/10/2023,88,60,238,67,2,41000
11/11/2023,89,60,239,68,2,41015
11/12/2023,89,61,241,70,2,41030
11/13/2023,90,61,242,71,2,41120
11/14/2023,91,61,243,72,2,42000
11/15/2023,91,62,245,74,2,42250
11/16/2023,92,62,246,75,2,42500
11/17/2023,93,62,247,76,2,42750
11/18/2023,93,63,249,78,2,43000
11/19/2023,94,63,250,79,2,43000
11/20/2023,95,63,251,80,2,43000
11/21/2023,96,63,253,82,2,44000
11/22/2023,96,64,254,83,2,45000
11/23/2023,97,64,255,84,3,46000
11/24/2023,98,64,256,86,3,47000
11/25/2023,98,65,258,87,3,48000
11/26/2023,99,65,259,89,3,49000
11/27/2023,100,65,260,90,3,50000
11/28/2023,100,66,262,91,3,50000
11/29/2023,101,66,263,93,3,50000
11/30/2023,102,66,264,94,3,50000
12/1/2023,103,67,267,95,3,50000
12/2/2023,103,67,267,97,3,50000
12/3/2023,103,67,270,98,3,50000
12/4/2023,107,69,271,99,3,51000
12/5/2023,110,70,273,101,3,52000
12/6/2023,114,72,274,102,3,52000
12/7/2023,121,73,275,103,3,52000
12/8/2023,122,73,275,105,3,52100
12/9/2023,123,74,276,106,3,52200
12/10/2023,124,74,276,107,3,52300
12/11/2023,124,75,276,109,3,52400
12/12/2023,126,75,277,110,3,52500
12/13/2023,126,80,278,111,3,52500
12/14/2023,126,85,280,111,3,52500
12/15/2023,126,90,282,112,3,52500
12/16/2023,126,90,282,112,3,52500
12/17/2023,126,90,282,112,3,52500
12/18/2023,126,90,282,112,3,52500
12/19/2023,126,90,282,112,3,52600
12/20/2023,126,90,283,114,3,53000
12/21/2023,126,91,284,114,3,55400
12/22/2023,126,91,284,115,3,57800
12/23/2023,126,92,285,115,3,60200
12/24/2023,126,92,285,115,3,62600
12/25/2023,126,92,285,115,3,65000
12/26/2023,126,92,285,115,3,65000
12/27/2023,126,92,285,115,3,65000
12/28/2023,126,92,285,116,3,65000
12/29/2023,126,92,285,116,3,65000
12/30/2023,126,92,285,117,3,65000
12/31/2023,126,92,285,119,3,65000
1/1/2024,130,93,292,120,3,65000
1/2/2024,130,93,292,121,3,65000
1/3/2024,130,93,292,121,3,65000
1/4/2024,130,93,292,122,3,65000
1/5/2024,132,94,294,126,3,67000
1/6/2024,134,94,295,130,3,69000
1/7/2024,134,94,295,134,3,69000
1/8/2024,134,95,295,138,3,69000
1/9/2024,134,95,295,142,3,69000
1/10/2024,134,95,295,142,3,69100
1/11/2024,134,95,295,142,3,69200
1/12/2024,134,95,295,145,3,69250
1/13/2024,134,95,295,147,3,69300
1/14/2024,134,95,295,150,3,70000
1/15/2024,135,96,295,152,3,70000
1/16/2024,136,96,295,154,3,70000
1/17/2024,137,97,295,155,3,70000
1/18/2024,138,97,295,157,3,70000
1/19/2024,139,98,295,158,3,70000
1/20/2024,139,98,295,159,3,70000
1/21/2024,140,99,295,160,3,70000
1/22/2024,140,99,295,161,3,70000
1/23/2024,140,99,295,161,3,70000
1/24/2024,140,99,295,161,3,70000
1/25/2024,140,99,295,161,3,70000
1/26/2024,140,99,295,161,3,70000
1/27/2024,140,99,295,161,3,70000
1/28/2024,140,99,295,161,3,70000
1/29/2024,140,99,295,161,3,70000
1/30/2024,140,99,295,161,3,70000
1/31/2024,140,99,295,167,3,70000
2/1/2024,140,100,295,172,3,70000
2/2/2024,140,100,295,178,3,70000
2/3/2024,140,100,295,183,3,70000
2/4/2024,140,100,295,183,3,70000
2/5/2024,141,100,295,183,3,70000
2/6/2024,141,100,295,183,3,70000
2/7/2024,141,100,295,184,3,70000
2/8/2024,141,100,295,184,3,70000
2/9/2024,142,100,295,184,3,70000
2/10/2024,142,100,295,184,3,70000
2/11/2024,142,100,295,184,3,70000
2/12/2024,142,100,295,184,3,70000
2/13/2024,142,100,295,184,3,70000
2/14/2024,142,100,295,184,3,70000
2/15/2024,142,100,295,184,3,70000
2/16/2024,142,100,295,184,3,70000
2/17/2024,142,100,295,184,3,70000
2/18/2024,144,100,297,188,3,70000
2/19/2024,146,100,298,192,3,70000
2/20/2024,148,100,300,196,3,70000
2/21/2024,151,100,301,200,3,70000
2/22/2024,153,100,303,204,3,70000
2/23/2024,157,100,304,208,3,70000
2/24/2024,157,100,304,209,3,70000
2/25/2024,158,100,304,209,3,70000
2/26/2024,158,100,305,210,3,70000
2/27/2024,159,100,305,210,3,70000
2/28/2024,159,100,305,211,3,70000
2/29/2024,160,100,305,211,3,70000
3/1/2024,161,100,305,213,3,70000
3/2/2024,161,100,305,214,3,70000
3/3/2024,162,100,305,216,3,70000
3/4/2024,163,100,305,217,3,70000
3/5/2024,164,100,305,217,3,70000
3/6/2024,164,100,305,218,3,70000
3/7/2024,165,100,305,218,3,70000
3/8/2024,165,100,305,219,3,70000
3/9/2024,166,100,305,219,3,70000
3/10/2024,166,100,305,220,3,70000
3/11/2024,166,100,305,221,3,70000
3/12/2024,166,100,305,221,3,70000
3/13/2024,166,100,305,222,3,70000
3/14/2024,166,100,305,223,3,70000
3/15/2024,166,100,305,223,3,70000
3/16/2024,167,100,305,223,3,70000
3/17/2024,167,100,305,223,3,70000
3/18/2024,168,100,305,223,3,70000
3/19/2024,168,100,305,224,3,70000
3/20/2024,168,100,305,224,3,70000
3/21/2024,168,100,305,224,3,70000
3/22/2024,168,100,305,224,3,70000
3/23/2024,168,100,305,224,3,70000
3/24/2024,168,100,305,224,3,70000
3/25/2024,168,100,305,225,3,70000
3/26/2024,168,100,305,225,3,70000
3/27/2024,168,100,305,226,3,70000
3/28/2024,168,100,305,226,3,70000
3/29/2024,168,100,305,227,3,70000
3/30/2024,169,100,305,227,3,70000
3/31/2024,169,100,305,228,3,70000
4/1/2024,170,100,305,228,3,70000
4/2/2024,170,100,305,229,3,70000
4/3/2024,171,100,305,229,3,70000
4/4/2024,171,100,305,229,3,70000
4/5/2024,171,100,305,229,3,70000
4/6/2024,171,100,305,229,3,70000
4/7/2024,171,100,305,229,3,70000
4/8/2024,171,100,305,229,3,70000
4/9/2024,171,100,305,230,3,70000
4/10/2024,171,100,305,231,3,70000
4/11/2024,171,100,305,231,3,70000
4/12/2024,171,100,305,232,3,70000
4/13/2024,171,100,305,233,3,70000
4/14/2024,172,101,306,234,3,73200
4/15/2024,174,101,307,235,3,76400
4/16/2024,175,102,307,235,3,79600
4/17/2024,177,102,308,236,3,82800
4/18/2024,178,103,309,237,3,86000
4/19/2024,179,103,309,237,3,86000
4/20/2024,179,103,309,238,3,86000
4/21/2024,180,103,309,238,3,86000
4/22/2024,180,103,309,239,3,86000
4/23/2024,181,103,309,239,3,86000
4/24/2024,181,103,309,240,3,86000
